supplier_product_id,supplier_product_category,supplier_product_subcategory,supplier_product_quantity,supplier_product_price,supplier_id,product_id,product_name,product_category,product_subcategory,quantity,price
1,Grocery,Frozen,4198,19.57,SUP0032,PROD00001,Classic Frozen Device 1ARB,Grocery,Frozen,4163,20.11
2,Automotive,Care,4629,74.14,SUP0032,PROD00002,Classic Care Chair FLXJ,Automotive,Care,4606,89.53
3,Sports,Fitness,3825,20.0,SUP0032,PROD00003,Adjustable Fitness Blender RB2I,Sports,Fitness,3802,27.31
4,Beauty,Skincare,2229,131.99,SUP0032,PROD00004,Adjustable Skincare Speaker KPUF,Beauty,Skincare,2201,138.82
5,Home & Kitchen,Cookware,3793,128.13,SUP0032,PROD00005,Pro Cookware System A8U4,Home & Kitchen,Cookware,3780,179.92
6,Electronics,Smartphones,1126,67.38,SUP0032,PROD00006,Advanced Smartphones Speaker 1ZDN,Electronics,Smartphones,1082,81.6
7,Grocery,Frozen,3634,178.59,SUP0032,PROD00007,Classic Frozen Helmet Q39J,Grocery,Frozen,3608,197.61
8,Office,Organization,4578,157.08,SUP0032,PROD00008,Ultra Organization Shoes WJ1Z,Office,Organization,4535,178.27
9,Sports,Running,4116,167.96,SUP0032,PROD00009,Wireless Running Bag RQZF,Sports,Running,4091,209.13
10,Beauty,Skincare,529,40.27,SUP0032,PROD00010,Smart Skincare Bag UDCO,Beauty,Skincare,502,48.1
11,Grocery,Beverages,4439,51.92,SUP0032,PROD00011,Adjustable Beverages Blender CLX2,Grocery,Beverages,4404,67.33
12,Toys,Educational,819,168.73,SUP0032,PROD00012,Adjustable Educational System C3AQ,Toys,Educational,769,208.89
13,Grocery,Produce,365,28.59,SUP0032,PROD00013,Compact Produce Bag WV7Y,Grocery,Produce,325,32.49
14,Toys,Dolls,4680,128.6,SUP0032,PROD00014,Classic Dolls System MW5T,Toys,Dolls,4656,168.8
15,Automotive,Electronics,4164,57.64,SUP0032,PROD00015,Eco Electronics Chair UP58,Automotive,Electronics,4138,70.62
16,Office,Printers,49,142.64,SUP0032,PROD00016,Lite Printers Bottle 2FFF,Office,Printers,2,170.03
17,Office,Furniture,708,33.86,SUP0032,PROD00017,Durable Furniture Set NEB6,Office,Furniture,673,38.5
18,Beauty,Haircare,3937,63.19,SUP0032,PROD00018,Smart Haircare Device J8ZA,Beauty,Haircare,3910,67.41
19,Automotive,Parts,1727,38.06,SUP0032,PROD00019,Classic Parts Printer B12I,Automotive,Parts,1721,43.58
20,Automotive,Electronics,466,136.03,SUP0032,PROD00020,Ultra Electronics Blender NG76,Automotive,Electronics,447,151.4
21,Automotive,Care,2237,169.08,SUP0032,PROD00021,Advanced Care Speaker 01LV,Automotive,Care,2234,190.13
22,Automotive,Accessories,3331,50.32,SUP0032,PROD00022,Durable Accessories Bundle MIVX,Automotive,Accessories,3283,65.91
23,Home & Kitchen,Decor,3738,75.8,SUP0032,PROD00023,High-Speed Decor Mixer W50C,Home & Kitchen,Decor,3704,91.18
24,Office,Organization,1574,192.28,SUP0032,PROD00024,Ultra Organization Keyboard 76OX,Office,Organization,1561,198.39
25,Electronics,Audio,3021,104.15,SUP0032,PROD00025,Ergonomic Audio Lamp UZ9G,Electronics,Audio,2972,128.18
26,Beauty,Fragrance,1690,78.72,SUP0032,PROD00026,Multi-Purpose Fragrance Bottle GTIS,Beauty,Fragrance,1683,81.18
27,Office,Paper,2147,11.51,SUP0032,PROD00027,Ergonomic Paper Bottle R45L,Office,Paper,2145,13.53
28,Electronics,Smartphones,388,166.56,SUP0032,PROD00028,Eco Smartphones Bundle TTG9,Electronics,Smartphones,368,204.13
29,Electronics,Audio,329,131.39,SUP0032,PROD00029,Pro Audio System I58Z,Electronics,Audio,328,135.42
30,Office,Printers,2091,181.21,SUP0032,PROD00030,Wireless Printers Kit WJQ7,Office,Printers,2072,191.38
31,Sports,Outdoor,2159,49.8,SUP0032,PROD00031,Classic Outdoor Speaker P3UT,Sports,Outdoor,2134,51.68
32,Toys,Dolls,2869,5.05,SUP0032,PROD00032,Premium Dolls Lamp LJPY,Toys,Dolls,2857,6.03
33,Automotive,Care,1670,122.35,SUP0032,PROD00033,Durable Care Set C5RI,Automotive,Care,1661,174.18
34,Home & Kitchen,Decor,4972,84.09,SUP0032,PROD00034,Multi-Purpose Decor Blender B25W,Home & Kitchen,Decor,4943,102.89
35,Sports,Cycling,981,119.98,SUP0032,PROD00035,Classic Cycling Bundle GIEW,Sports,Cycling,944,120.77
36,Toys,Puzzles,3042,144.13,SUP0032,PROD00036,High-Speed Puzzles Speaker N528,Toys,Puzzles,3025,153.0
37,Electronics,Laptops,4770,160.55,SUP0032,PROD00037,Wireless Laptops Bundle DO2F,Electronics,Laptops,4737,206.01
38,Sports,Cycling,2042,90.02,SUP0032,PROD00038,Ergonomic Cycling Printer 4L25,Sports,Cycling,1993,120.65
39,Electronics,Audio,2750,97.11,SUP0032,PROD00039,Ergonomic Audio Device 2E51,Electronics,Audio,2731,100.51
40,Automotive,Parts,3506,61.79,SUP0032,PROD00040,Multi-Purpose Parts Helmet 0EB2,Automotive,Parts,3501,70.68
41,Electronics,Tablets,4223,148.56,SUP0032,PROD00041,Lite Tablets System GO7S,Electronics,Tablets,4220,206.96
42,Electronics,Audio,768,102.71,SUP0032,PROD00042,Durable Audio Set HT0R,Electronics,Audio,749,145.6
43,Sports,Running,4340,133.15,SUP0032,PROD00043,Wireless Running Camera XE9X,Sports,Running,4335,143.52
44,Beauty,Skincare,1839,129.48,SUP0032,PROD00044,Ergonomic Skincare Monitor 0G4Y,Beauty,Skincare,1838,157.09
45,Grocery,Beverages,2485,3.26,SUP0018,PROD00045,Compact Beverages Blender 6659,Grocery,Beverages,2464,4.38
46,Beauty,Fragrance,964,100.28,SUP0018,PROD00046,Wireless Fragrance Cleaner 0UJ2,Beauty,Fragrance,917,112.95
47,Automotive,Care,4993,195.74,SUP0018,PROD00047,Premium Care Chair AN27,Automotive,Care,4976,204.64
48,Automotive,Accessories,1726,56.87,SUP0018,PROD00048,Multi-Purpose Accessories Monitor VIET,Automotive,Accessories,1716,69.95
49,Grocery,Frozen,3511,149.04,SUP0018,PROD00049,Adjustable Frozen Device 0G2E,Grocery,Frozen,3477,196.56
50,Toys,Board Games,370,51.67,SUP0018,PROD00050,High-Speed Board Games Camera 0NHO,Toys,Board Games,333,67.5
51,Home & Kitchen,Storage,4751,72.76,SUP0018,PROD00051,Lite Storage Bottle TM0L,Home & Kitchen,Storage,4719,76.18
52,Office,Paper,3034,70.46,SUP0018,PROD00052,Pro Paper Keyboard ZNV5,Office,Paper,2992,71.0
53,Beauty,Skincare,485,129.92,SUP0018,PROD00053,Wireless Skincare Chair 01TI,Beauty,Skincare,443,167.96
54,Electronics,Laptops,653,134.98,SUP0018,PROD00054,Wireless Laptops Set OSIR,Electronics,Laptops,611,161.94
55,Sports,Running,2610,56.91,SUP0018,PROD00055,Multi-Purpose Running Set U9IW,Sports,Running,2601,72.86
56,Electronics,Cameras,3805,96.78,SUP0018,PROD00056,Compact Cameras System MATZ,Electronics,Cameras,3785,120.13
57,Automotive,Accessories,3284,124.28,SUP0018,PROD00057,Durable Accessories Device 12WG,Automotive,Accessories,3247,161.31
58,Automotive,Care,2159,16.95,SUP0018,PROD00058,Pro Care Kit 1YP4,Automotive,Care,2122,23.43
59,Sports,Cycling,3152,21.72,SUP0018,PROD00059,Compact Cycling System EVBN,Sports,Cycling,3135,29.46
60,Automotive,Accessories,2305,142.05,SUP0018,PROD00060,Advanced Accessories Shoes W5ZC,Automotive,Accessories,2283,162.45
61,Electronics,Audio,2965,161.25,SUP0018,PROD00061,Classic Audio Camera 798C,Electronics,Audio,2947,185.53
62,Toys,Puzzles,3338,162.48,SUP0018,PROD00062,Smart Puzzles Kit 9HT0,Toys,Puzzles,3298,163.64
63,Electronics,Audio,1968,154.88,SUP0018,PROD00063,Ergonomic Audio Shoes PM04,Electronics,Audio,1957,184.44
64,Sports,Team Sports,1496,65.44,SUP0018,PROD00064,Lite Team Sports Bottle HE38,Sports,Team Sports,1489,67.9
65,Sports,Running,2615,52.63,SUP0018,PROD00065,Adjustable Running Keyboard NHDH,Sports,Running,2599,73.47
66,Grocery,Frozen,3651,58.87,SUP0018,PROD00066,Lite Frozen Shoes 7HD3,Grocery,Frozen,3639,75.12
67,Grocery,Pantry,4943,60.5,SUP0018,PROD00067,Classic Pantry Keyboard 0QIE,Grocery,Pantry,4912,72.82
68,Toys,Educational,3794,175.21,SUP0018,PROD00068,Lite Educational System XIKC,Toys,Educational,3763,190.84
69,Sports,Team Sports,1011,118.71,SUP0018,PROD00069,Multi-Purpose Team Sports Printer OS0D,Sports,Team Sports,984,125.17
70,Office,Stationery,3098,132.73,SUP0018,PROD00070,Lite Stationery Camera 3BK9,Office,Stationery,3074,180.87
71,Beauty,Skincare,375,124.71,SUP0018,PROD00071,Eco Skincare Mixer G8V7,Beauty,Skincare,365,151.25
