supplier_product_id,supplier_product_category,supplier_product_subcategory,supplier_product_quantity,supplier_product_price,supplier_id,product_id,product_name,product_category,product_subcategory,quantity,price
1,Beauty,Body,3515,69.93,SUP0019,PROD00001,Multi-Purpose Body Camera S4ZQ,Beauty,Body,3468,89.84
2,Office,Printers,2562,223.68,SUP0019,PROD00002,Compact Printers Bottle 3TWE,Office,Printers,2547,278.73
3,Toys,Dolls,3113,56.85,SUP0019,PROD00003,Adjustable Dolls Blender VBM4,Toys,Dolls,3106,62.06
4,Beauty,Skincare,998,277.02,SUP0019,PROD00004,Classic Skincare Shoes JZI7,Beauty,Skincare,960,335.25
5,Grocery,Snacks,1114,26.06,SUP0019,PROD00005,Lite Snacks Shoes F0O1,Grocery,Snacks,1092,26.75
6,Office,Organization,1115,158.62,SUP0019,PROD00006,Premium Organization Camera YF6M,Office,Organization,1072,212.27
7,Electronics,Audio,1516,260.89,SUP0019,PROD00007,Adjustable Audio Device OFD1,Electronics,Audio,1495,284.59
8,Electronics,Tablets,3460,1256.25,SUP0019,PROD00008,Ergonomic Tablets Printer 2VMP,Electronics,Tablets,3444,1455.09
9,Toys,Dolls,3684,92.91,SUP0019,PROD00009,Premium Dolls Speaker 698V,Toys,Dolls,3645,106.3
10,Home & Kitchen,Storage,902,339.51,SUP0019,PROD00010,Compact Storage Cleaner VCVO,Home & Kitchen,Storage,879,402.48
11,Beauty,Makeup,2830,239.97,SUP0019,PROD00011,Multi-Purpose Makeup Device W83O,Beauty,Makeup,2789,308.99
12,Automotive,Parts,2857,938.4,SUP0019,PROD00012,Advanced Parts Chair P6SS,Automotive,Parts,2846,1028.36
13,Beauty,Body,1301,94.86,SUP0019,PROD00013,Pro Body Helmet Y8RC,Beauty,Body,1295,104.55
14,Electronics,Laptops,4521,1920.65,SUP0019,PROD00014,Advanced Laptops Bundle 9BWH,Electronics,Laptops,4500,1933.42
15,Office,Printers,2098,629.97,SUP0019,PROD00015,Multi-Purpose Printers Printer A339,Office,Printers,2087,715.83
16,Automotive,Tools,4443,234.43,SUP0019,PROD00016,Ultra Tools Lamp 15XS,Automotive,Tools,4396,320.2
17,Beauty,Makeup,3061,92.13,SUP0019,PROD00017,Multi-Purpose Makeup System 0YIO,Beauty,Makeup,3048,115.3
18,Sports,Team Sports,2741,290.59,SUP0019,PROD00018,Multi-Purpose Team Sports Cleaner TXKO,Sports,Team Sports,2709,292.45
19,Electronics,Cameras,307,1538.7,SUP0019,PROD00019,Ultra Cameras Bag A68T,Electronics,Cameras,273,1644.5
20,Home & Kitchen,Storage,1549,126.65,SUP0019,PROD00020,Advanced Storage Kit X6M4,Home & Kitchen,Storage,1501,156.19
21,Home & Kitchen,Storage,4436,386.18,SUP0019,PROD00021,Adjustable Storage Speaker BYDE,Home & Kitchen,Storage,4414,426.86
22,Toys,Action Figures,4282,249.99,SUP0019,PROD00022,Multi-Purpose Action Figures Bottle N13R,Toys,Action Figures,4255,292.18
23,Sports,Running,116,457.86,SUP0019,PROD00023,Ergonomic Running Monitor ZUJZ,Sports,Running,91,648.55
24,Sports,Outdoor,3059,555.73,SUP0019,PROD00024,Ergonomic Outdoor Kit 4OWH,Sports,Outdoor,3029,612.8
25,Toys,Dolls,737,192.25,SUP0019,PROD00025,Durable Dolls Device N6VI,Toys,Dolls,732,257.65
26,Beauty,Makeup,3803,340.5,SUP0019,PROD00026,Classic Makeup Speaker KP11,Beauty,Makeup,3792,343.17
27,Electronics,Cameras,1962,661.41,SUP0019,PROD00027,Premium Cameras Lamp FIIN,Electronics,Cameras,1937,847.92
28,Grocery,Produce,5025,141.92,SUP0019,PROD00028,Ergonomic Produce Kit PI07,Grocery,Produce,4978,179.0
29,Grocery,Frozen,2692,122.91,SUP0019,PROD00029,Durable Frozen Set A105,Grocery,Frozen,2680,168.65
30,Automotive,Accessories,604,257.31,SUP0019,PROD00030,Adjustable Accessories Mixer 5EX7,Automotive,Accessories,584,320.88
31,Home & Kitchen,Cleaning,2258,561.31,SUP0019,PROD00031,Multi-Purpose Cleaning Helmet 9UGZ,Home & Kitchen,Cleaning,2216,562.83
32,Beauty,Fragrance,1754,187.23,SUP0019,PROD00032,Wireless Fragrance Chair AFDE,Beauty,Fragrance,1727,220.91
33,Home & Kitchen,Appliances,2277,64.06,SUP0019,PROD00033,Smart Appliances Blender AD1P,Home & Kitchen,Appliances,2264,87.01
34,Home & Kitchen,Appliances,774,721.78,SUP0019,PROD00034,Smart Appliances Helmet UH9N,Home & Kitchen,Appliances,731,724.97
35,Electronics,Cameras,4821,889.86,SUP0019,PROD00035,Durable Cameras System 4418,Electronics,Cameras,4783,938.18
36,Toys,Board Games,3274,172.89,SUP0019,PROD00036,Advanced Board Games Cleaner 73TS,Toys,Board Games,3239,222.43
37,Toys,Board Games,4860,162.62,SUP0019,PROD00037,Ergonomic Board Games Bottle PGSD,Toys,Board Games,4857,211.11
38,Office,Furniture,3526,69.75,SUP0019,PROD00038,Compact Furniture Mixer 6V1H,Office,Furniture,3477,89.85
39,Automotive,Parts,4053,493.17,SUP0021,PROD00039,Pro Parts Chair YUQR,Automotive,Parts,4048,515.66
40,Electronics,Cameras,1904,580.3,SUP0021,PROD00040,Pro Cameras Camera BEXM,Electronics,Cameras,1886,704.64
41,Toys,Dolls,5026,156.55,SUP0021,PROD00041,Pro Dolls System DFZQ,Toys,Dolls,4990,157.31
42,Home & Kitchen,Storage,86,467.46,SUP0021,PROD00042,Classic Storage Blender 55EZ,Home & Kitchen,Storage,75,594.95
43,Sports,Team Sports,2836,181.92,SUP0021,PROD00043,Wireless Team Sports Kit 4AR8,Sports,Team Sports,2824,188.74
44,Sports,Cycling,1058,166.42,SUP0021,PROD00044,Adjustable Cycling Blender NJDS,Sports,Cycling,1011,205.13
45,Sports,Running,3576,596.8,SUP0021,PROD00045,Lite Running Cleaner M9RE,Sports,Running,3560,697.02
46,Home & Kitchen,Decor,3286,449.6,SUP0021,PROD00046,Adjustable Decor Camera MRHC,Home & Kitchen,Decor,3240,519.73
47,Electronics,Smartphones,4539,510.38,SUP0021,PROD00047,Lite Smartphones Mixer 9C6U,Electronics,Smartphones,4516,566.91
48,Beauty,Skincare,786,320.85,SUP0021,PROD00048,Eco Skincare Set 8IWR,Beauty,Skincare,750,357.49
49,Automotive,Accessories,1979,279.7,SUP0021,PROD00049,Eco Accessories Blender OJIQ,Automotive,Accessories,1958,371.9
50,Office,Paper,3416,733.59,SUP0021,PROD00050,Lite Paper Camera 95AX,Office,Paper,3374,889.12
51,Grocery,Pantry,982,47.15,SUP0021,PROD00051,Wireless Pantry Bag A1CU,Grocery,Pantry,961,64.05
52,Grocery,Frozen,2507,36.87,SUP0021,PROD00052,Smart Frozen Camera 4LG8,Grocery,Frozen,2479,49.92
53,Home & Kitchen,Storage,1994,369.42,SUP0027,PROD00053,Adjustable Storage Bundle 5CQ2,Home & Kitchen,Storage,1952,496.94
